,sqft_living,sqft_lot,sqft_basement,bedrooms,floors,zipcode_category,lat,long,waterfront,view,grade,age_renovated,price
4512,2440,5088,0,4,2.0,2,47.5406,-121.889,0,0,7,16.0,425000
4513,1930,15540,670,3,1.0,2,47.7675,-122.307,0,0,8,65.0,360000
4514,1200,6615,0,3,1.0,1,47.5168,-122.351,0,0,7,69.0,260000
4515,1550,8509,400,3,1.0,1,47.5299,-122.344,0,0,7,64.0,369000
4516,2180,11132,560,4,1.0,1,47.3187,-122.367,0,0,8,45.0,275000
4517,1430,1448,0,3,3.0,2,47.6916,-122.341,0,0,8,18.0,407000
4518,1230,5418,240,2,1.0,2,47.6839,-122.376,0,0,8,74.0,575000
4519,1670,3852,0,3,2.0,4,47.6411,-122.371,0,3,8,95.0,1240000
4520,2720,4913,1020,2,1.0,3,47.6384,-122.404,0,1,8,87.0,875000
4521,2220,6811,950,4,1.0,2,47.5059,-122.193,0,0,7,62.0,320000
4522,1520,9041,0,3,1.0,5,47.6158,-122.213,0,0,7,69.0,810000
4523,1590,7620,500,3,1.0,1,47.3655,-122.048,0,0,7,39.0,274000
4524,1480,9523,360,4,1.0,1,47.3732,-122.217,0,0,7,64.0,239900
4525,1860,7808,780,4,1.0,2,47.7314,-122.3,0,0,7,70.0,450000
4526,1360,60548,400,4,1.0,1,47.2718,-122.265,0,0,6,63.0,263400
4527,1360,5967,0,3,1.0,1,47.4973,-122.256,0,0,6,69.0,265000
4528,2360,6250,900,4,1.0,2,47.512,-122.249,0,2,7,63.0,418000
4529,2360,5737,0,3,2.0,2,47.7633,-122.262,0,0,8,20.0,390000
4530,1860,7500,930,3,1.0,1,47.5662,-122.364,0,0,7,73.0,430000
4531,2630,9705,0,3,2.5,3,47.6485,-122.121,0,2,8,36.0,1440000
4532,1280,37373,0,2,1.0,1,47.2631,-122.019,0,0,7,27.0,297000
4533,2330,7220,730,4,2.0,3,47.7764,-122.386,0,1,8,35.0,650000
4534,720,18000,0,2,1.0,1,47.5054,-122.261,0,0,6,73.0,195000
4535,3380,108900,680,3,2.0,1,47.4316,-122.075,0,0,9,24.0,554000
4536,3650,843309,0,3,2.0,2,47.3627,-122.496,0,0,7,32.0,550000
4537,1640,4590,0,3,1.5,3,47.6846,-122.294,0,0,7,72.0,700000
4538,1730,177657,0,4,1.5,2,47.5163,-121.829,0,0,5,75.0,300000
4539,1030,8576,0,2,1.5,2,47.7352,-122.295,0,0,6,71.0,315000
4540,1790,5250,390,3,1.0,4,47.6627,-122.276,0,0,7,80.0,603000
4541,840,3400,0,2,1.0,4,47.6403,-122.372,0,2,7,99.0,530000
4542,1300,8480,0,3,1.0,3,47.6991,-122.13,0,0,7,54.0,397500
4543,1240,5250,0,3,1.5,1,47.4917,-122.206,0,0,6,119.0,221000
4544,2170,8050,950,4,1.0,2,47.7354,-122.174,0,0,7,47.0,466000
4545,1330,5412,0,3,2.0,1,47.2053,-121.993,0,0,7,118.0,197500
4546,1390,1080,250,3,2.0,2,47.5325,-122.282,0,0,7,17.0,280000
4547,1240,3873,380,2,1.0,3,47.5752,-122.388,0,0,6,114.0,412000
4548,880,6731,0,2,1.0,3,47.5694,-122.395,0,0,7,73.0,454000
4549,2540,228254,1090,4,1.0,2,47.719,-121.912,0,0,8,33.0,540000
4550,2520,5753,1010,5,1.5,1,47.2058,-121.997,0,0,7,95.0,250000
4551,2510,35691,0,5,1.0,4,47.6435,-122.154,0,0,9,56.0,900000
4552,2020,7902,800,5,1.0,1,47.51,-122.327,0,0,7,61.0,245000
4553,2060,7251,710,3,1.0,1,47.3569,-122.175,0,0,7,36.0,290000
4554,930,7742,0,2,1.0,1,47.507,-122.302,0,0,6,90.0,160000
4555,2700,7225,1040,2,1.5,3,47.5892,-122.383,0,4,8,15.0,1260000
4556,1060,6050,120,2,1.0,2,47.7028,-122.321,0,0,7,84.0,325000
4557,670,6750,0,2,1.0,1,47.4521,-122.283,0,0,5,76.0,185000
4558,1750,4990,800,3,1.0,2,47.6667,-122.361,0,0,7,107.0,477000
4559,930,7623,0,2,1.0,2,47.467,-122.349,0,0,6,81.0,100000
4560,2420,11481,1050,4,1.0,1,47.341,-122.318,0,0,8,38.0,345000
4561,2410,14985,460,4,1.0,2,47.4278,-122.343,0,1,7,58.0,530000
4562,1150,7156,0,3,1.0,1,47.4864,-122.317,0,0,6,70.0,203000
4563,2480,5000,0,4,2.0,3,47.6811,-122.035,0,0,7,19.0,599000
4564,1310,6000,0,4,1.5,2,47.5822,-122.295,0,0,7,83.0,370000
4565,1240,8000,200,3,1.0,1,47.4204,-122.316,0,0,6,69.0,140000
4566,1150,5100,0,3,2.0,2,47.5349,-122.384,0,0,8,18.0,500000
4567,1460,4000,730,3,1.0,2,47.5768,-122.307,0,2,7,94.0,527200
4568,3060,7015,1460,5,1.0,1,47.5052,-122.372,0,0,8,44.0,549900
4569,3520,8095,0,4,2.0,3,47.7065,-122.109,0,0,9,17.0,760000
4570,960,4400,0,2,1.0,2,47.5269,-122.264,0,0,7,72.0,319000
4571,2430,15264,0,3,2.0,1,47.3805,-122.208,0,0,8,26.0,362300
4572,1930,4505,490,3,1.0,1,47.3459,-122.326,0,3,7,50.0,421000
4573,1090,4000,0,3,1.5,2,47.6846,-122.386,0,0,7,78.0,690000
4574,2790,31798,1140,3,1.0,3,47.5241,-122.039,0,0,8,70.0,640000
4575,1650,6900,740,4,1.0,1,47.2802,-122.211,0,0,7,30.0,238000
4576,3740,39640,0,3,2.0,2,47.4036,-122.462,0,2,10,32.0,789000
4577,5310,12741,1710,6,2.0,5,47.5696,-122.213,0,2,10,56.0,1050000
4578,1690,4476,0,3,2.0,1,47.3663,-122.114,0,0,7,15.0,302500
4579,1400,7920,0,4,1.0,1,47.4658,-122.184,0,0,7,60.0,259950
4580,1440,28516,0,3,1.0,3,47.5829,-122.005,0,0,7,48.0,456000
4581,1360,3718,0,3,2.0,3,47.6827,-122.097,0,0,7,36.0,369950
4582,1726,197326,0,3,2.0,2,47.3484,-122.505,0,0,7,41.0,363750
4583,2220,216493,0,3,1.0,2,47.6624,-121.951,0,2,8,34.0,585000
4584,1850,6676,0,3,2.0,1,47.3103,-122.36,0,0,7,37.0,268000
4585,2860,4000,700,5,2.0,4,47.6225,-122.318,0,0,8,113.0,1200000
4586,1120,10176,200,3,1.0,2,47.5235,-122.277,0,0,6,118.0,345000
4587,2340,19850,0,4,2.0,2,47.7672,-122.306,0,0,9,30.0,539000
4588,3760,9792,1210,5,2.0,4,47.5654,-122.115,0,0,9,39.0,851000
4589,1920,7200,140,3,2.0,3,47.5709,-122.408,0,2,10,26.0,900000
4590,3230,5000,800,3,2.0,2,47.7011,-122.389,0,2,8,78.0,850000
4591,1260,6500,0,3,1.0,3,47.6224,-122.116,0,0,7,57.0,390000
4592,1540,6909,620,3,1.0,2,47.7451,-122.313,0,0,7,68.0,345000
4593,1700,3150,0,3,2.0,3,47.5505,-121.998,0,0,8,18.0,534500
4594,3600,3960,1200,6,2.0,2,47.5656,-122.372,0,0,7,52.0,643500
4595,3150,5520,1020,3,1.5,5,47.6345,-122.302,0,0,8,98.0,1210000
4596,1280,4000,550,2,1.0,3,47.5798,-122.383,0,0,7,94.0,495000
4597,980,4120,150,2,1.0,3,47.6815,-122.291,0,0,7,9.0,535000
4598,2190,6578,0,4,2.0,2,47.5305,-121.847,0,0,7,19.0,435000
4599,2470,1831,500,4,2.0,2,47.4645,-122.337,0,0,7,14.0,305000
4600,2590,7910,0,4,2.0,3,47.6978,-122.284,0,0,9,22.0,799000
4601,2580,15031,0,4,2.0,3,47.6895,-122.094,0,0,9,24.0,700000
4602,1270,1213,230,3,2.0,2,47.6736,-122.375,0,0,8,18.0,467000
4603,1250,7560,0,3,1.0,1,47.4493,-122.173,0,0,6,64.0,263000
4604,4660,7157,1640,4,2.0,2,47.5352,-122.156,0,0,9,20.0,760000
4605,2019,4435,0,4,2.0,1,47.1958,-121.974,0,3,8,15.0,293000
4606,1490,7929,0,3,1.0,1,47.2875,-122.218,0,0,7,34.0,245000
4607,1560,10807,0,2,1.0,2,47.4444,-122.509,0,0,7,74.0,181000
4608,1030,15264,0,3,1.0,2,47.5016,-122.168,0,0,7,61.0,240000
4609,2560,7961,1110,4,1.0,4,47.6499,-122.199,0,2,8,48.0,880000
4610,1460,6377,0,3,1.0,1,47.3679,-122.02,0,0,7,28.0,285000
4611,770,6017,0,2,1.0,2,47.7223,-122.321,0,0,7,73.0,407500
4612,1960,3543,0,4,2.0,2,47.4849,-122.184,0,0,7,19.0,325000
4613,1900,10454,510,3,1.0,2,47.7748,-122.291,0,0,7,45.0,405000
4614,1970,4120,740,3,1.5,1,47.5328,-122.346,0,0,6,96.0,291700
4615,2490,18525,0,3,2.0,1,47.2119,-122.001,0,3,8,28.0,370000
4616,1430,8960,0,3,1.0,2,47.4759,-122.349,0,0,6,70.0,270000
4617,2680,7200,1300,4,1.0,4,47.6835,-122.187,0,0,8,10.0,800000
4618,1610,3210,700,3,1.0,2,47.6656,-122.335,0,0,7,95.0,626500
4619,4300,8406,720,4,2.0,5,47.5396,-122.214,0,1,11,36.0,1130000
4620,3200,7545,0,4,2.0,1,47.3666,-122.03,0,0,7,20.0,399950
4621,2140,15030,570,3,1.0,2,47.4181,-122.338,0,0,7,65.0,419000
4622,4240,43995,0,4,2.0,3,47.6008,-122.044,0,0,10,34.0,1160000
4623,3410,10769,0,4,2.0,5,47.6081,-122.198,0,0,10,15.0,1410000
4624,2090,8064,0,4,2.0,4,47.6829,-122.195,0,0,7,56.0,710000
4625,1410,4840,180,3,1.0,4,47.6646,-122.204,0,2,6,81.0,650000
4626,2820,33750,0,4,2.0,2,47.7387,-122.096,0,0,9,39.0,369900
4627,2770,63118,0,4,2.0,2,47.6622,-121.961,0,0,9,26.0,641000
4628,1400,6879,0,3,1.0,2,47.7508,-122.286,0,0,7,72.0,403000
4629,3620,4000,890,3,2.0,3,47.6393,-122.403,0,0,10,18.0,1020000
4630,2260,13600,490,4,1.0,5,47.5436,-122.233,0,0,8,49.0,865000
4631,3440,23954,1180,4,1.5,5,47.5636,-122.231,1,3,10,92.0,2490000
4632,2150,3588,300,4,2.0,2,47.5767,-122.378,0,3,8,97.0,810000
4633,1256,1154,0,3,3.0,2,47.7146,-122.311,0,0,7,18.0,316750
4634,2220,130244,0,4,2.0,3,47.4989,-121.9,0,0,8,34.0,652500
4635,2850,15240,1000,6,1.0,1,47.5288,-122.345,0,0,7,61.0,360000
4636,700,5100,0,2,1.0,2,47.4957,-122.168,0,0,5,70.0,208000
4637,3700,63991,0,4,2.0,3,47.7319,-122.051,0,0,10,31.0,898000
4638,1400,11934,350,4,1.0,2,47.7346,-122.244,0,0,7,62.0,295000
4639,3130,18253,0,4,2.0,1,47.7402,-122.348,0,0,7,45.0,652500
4640,2170,5764,0,4,2.0,3,47.5673,-121.999,0,0,8,31.0,560000
4641,1020,8400,0,3,1.0,2,47.4905,-122.18,0,0,7,66.0,280000
4642,1760,8584,0,3,1.5,1,47.4612,-122.325,0,0,7,86.0,289950
4643,1860,44093,0,3,1.0,1,47.4381,-122.188,0,0,7,45.0,397500
4644,1140,75132,0,2,1.0,3,47.7349,-122.074,0,0,7,67.0,380000
4645,1670,22703,360,3,1.0,2,47.4708,-121.756,0,0,7,35.0,415900
4646,1710,8645,200,2,1.0,3,47.7005,-122.313,0,0,7,100.0,475000
4647,500,7440,0,1,1.0,1,47.5252,-122.362,0,0,5,95.0,125000
4648,1470,32670,450,3,1.0,1,47.3811,-122.144,0,0,7,65.0,238000
4649,1370,9750,300,4,1.0,1,47.4718,-122.323,0,0,7,70.0,296000
4650,3470,117612,0,6,1.5,2,47.7663,-122.234,0,0,7,99.0,475000
4651,1650,6250,0,3,1.5,3,47.5639,-122.4,0,0,7,113.0,390000
4652,1180,3750,150,3,1.0,3,47.5726,-122.382,0,0,6,83.0,425000
4653,3110,5000,1300,6,1.5,2,47.6631,-122.348,0,0,7,102.0,725000
4654,2080,12134,550,3,1.0,3,47.6315,-122.102,0,0,8,50.0,605000
4655,1600,1950,0,3,2.0,3,47.6028,-122.312,0,0,7,117.0,302000
4656,2380,6000,730,3,2.0,3,47.6472,-122.393,0,0,9,92.0,886000
4657,1630,6120,650,4,1.0,3,47.6821,-122.31,0,0,7,105.0,540000
4658,1910,8400,0,4,2.0,2,47.7352,-122.175,0,0,7,48.0,435000
4659,3140,10752,840,4,2.0,1,47.5022,-122.363,0,0,7,31.0,409000
4660,1250,7280,0,3,1.0,3,47.6986,-122.129,0,0,7,48.0,405000
4661,1990,3984,0,3,2.0,3,47.5914,-122.017,0,0,8,19.0,560200
4662,2110,7208,940,4,1.0,1,47.4464,-122.129,0,0,8,48.0,324000
4663,2490,8290,0,4,2.0,1,47.3305,-122.171,0,0,9,24.0,390000
4664,800,5000,0,2,1.0,1,47.4914,-122.204,0,0,6,85.0,414000
4665,2360,4670,0,3,2.0,2,47.537,-121.871,0,0,7,25.0,441500
4666,1770,5146,0,3,2.0,1,47.5263,-122.356,0,0,7,31.0,375000
4667,2710,5500,0,4,2.0,3,47.6027,-122.023,0,0,9,24.0,668500
4668,1940,10202,0,5,1.5,2,47.7213,-122.31,0,0,7,83.0,540000
4669,3450,11240,1020,4,2.0,2,47.4556,-122.372,0,3,10,22.0,1040000
4670,3440,4920,920,4,2.0,3,47.5727,-122.409,0,4,10,9.0,1350000
4671,2410,9549,630,4,1.0,4,47.6503,-122.197,0,0,7,67.0,758000
4672,2290,10687,0,4,2.0,5,47.5878,-122.202,0,0,9,45.0,949880
4673,1030,4089,0,3,1.5,3,47.574,-122.385,0,0,7,96.0,570000
4674,2290,12047,0,4,2.0,4,47.5599,-122.105,0,0,9,35.0,736000
4675,1490,4400,0,3,1.5,3,47.6113,-122.292,0,0,7,117.0,670000
4676,2370,8400,1100,4,1.0,4,47.6716,-122.264,0,0,9,74.0,1130000
4677,1930,3976,0,4,1.5,3,47.6117,-122.297,0,0,8,109.0,650000
4678,1600,4000,750,2,1.0,5,47.6408,-122.3,0,0,7,105.0,690000
4679,2240,45738,0,4,2.0,3,47.687,-122.047,0,0,7,35.0,610000
4680,770,4000,0,2,1.0,2,47.6959,-122.364,0,0,5,99.0,413500
4681,2300,9752,0,3,2.0,3,47.5825,-122.076,0,2,8,20.0,765000
4682,3400,7081,0,4,2.0,4,47.5661,-122.123,0,0,9,22.0,828200
4683,900,4397,0,2,1.0,1,47.4851,-122.205,0,0,6,105.0,205000
4684,1450,5175,420,3,1.0,1,47.7082,-122.338,0,0,8,28.0,465000
4685,2240,5402,0,4,2.0,1,47.772,-122.35,0,0,8,18.0,556000
4686,1780,4169,0,4,2.0,3,47.5695,-122.006,0,0,8,29.0,540000
4687,2320,4254,0,4,2.0,2,47.48,-122.137,0,0,8,19.0,423000
4688,1590,14766,0,3,1.0,3,47.5902,-122.147,0,0,8,60.0,375000
4689,990,12696,0,3,1.5,1,47.4776,-122.279,0,0,7,87.0,173250
4690,2605,12030,1250,3,1.0,2,47.7725,-121.899,0,0,8,20.0,599900
4691,2870,4461,1220,5,1.0,2,47.675,-122.39,0,0,7,47.0,646000
4692,5180,17811,1110,5,2.0,2,47.5405,-121.868,0,2,11,22.0,1080000
4693,2180,3870,1160,4,1.0,3,47.6089,-122.303,0,0,7,123.0,558000
4694,850,5225,0,2,1.0,2,47.5311,-122.38,0,0,7,74.0,354000
4695,4050,9517,690,4,2.0,5,47.5769,-122.215,0,0,11,33.0,1200000
4696,2250,4200,600,4,1.5,3,47.6136,-122.297,0,0,7,114.0,670000
4697,3100,9378,0,6,3.0,5,47.6381,-122.314,0,2,11,45.0,1130000
4698,1747,12250,0,2,2.5,1,47.3282,-122.285,0,0,6,75.0,267500
4699,2410,4708,0,4,2.0,1,47.3229,-122.182,0,0,8,21.0,299800
4700,2070,9120,820,4,1.0,3,47.6045,-122.123,0,0,7,65.0,430000
4701,1860,3040,330,5,1.5,2,47.6559,-122.339,0,0,7,102.0,775000
4702,950,5214,120,3,1.0,2,47.5362,-122.379,0,0,7,79.0,333000
4703,1060,11765,0,3,1.0,2,47.7333,-122.302,0,0,6,72.0,336000
4704,880,1712,0,2,2.0,3,47.6475,-122.397,0,0,7,78.0,323000
4705,2550,56628,0,4,2.0,3,47.4913,-122.081,0,0,9,22.0,575000
4706,1550,2079,0,2,2.0,1,47.54,-122.368,0,0,8,15.0,328000
4707,1590,4600,300,3,1.5,2,47.6807,-122.399,0,0,7,97.0,572500
4708,1650,5100,610,3,1.0,3,47.6873,-122.321,0,0,7,115.0,600000
4709,2430,7242,0,4,2.0,1,47.3533,-122.015,0,0,8,20.0,412000
4710,1810,7200,500,3,1.0,4,47.6885,-122.211,0,0,7,63.0,827500
4711,2890,17349,0,4,2.0,1,47.2822,-122.34,0,0,8,29.0,300000
4712,1280,5040,0,3,2.0,2,47.5611,-122.276,0,0,7,38.0,415000
4713,3410,4056,1280,7,1.5,4,47.6454,-122.316,0,0,8,117.0,750000
4714,2220,4000,520,3,2.0,3,47.617,-122.291,0,0,8,23.0,800000
4715,1060,6000,0,3,1.0,2,47.5427,-122.275,0,0,8,69.0,420000
4716,1120,8250,0,3,1.0,2,47.4905,-122.179,0,0,7,66.0,266000
4717,2680,10590,0,4,2.0,2,47.7377,-121.97,0,0,8,19.0,499000
4718,1770,5750,0,4,2.0,3,47.5621,-122.394,0,0,7,76.0,440000
4719,2950,12196,640,3,2.0,2,47.4702,-122.365,0,0,7,105.0,495000
4720,1260,5300,420,2,1.0,2,47.6809,-122.348,0,0,7,72.0,630000
4721,1430,6818,0,3,1.0,2,47.7271,-122.196,0,0,7,51.0,424000
4722,2730,36183,0,4,2.0,3,47.7036,-122.127,0,0,9,37.0,760000
4723,3270,15704,1160,4,2.0,3,47.6256,-122.042,0,0,9,33.0,650000
4724,1720,10018,0,4,1.0,1,47.3614,-122.119,0,0,7,63.0,248500
4725,1270,12420,0,3,1.0,2,47.5387,-122.179,0,0,7,61.0,379600
4726,3260,10032,1300,4,1.0,2,47.7203,-122.323,0,0,8,45.0,538000
4727,2050,6360,0,4,2.0,3,47.5641,-122.011,0,0,8,35.0,530000
4728,2050,9720,0,4,2.0,3,47.5911,-122.119,0,0,8,56.0,545000
4729,3580,35261,0,4,1.5,2,47.7577,-122.134,0,0,10,38.0,925000
4730,1960,48787,0,4,1.5,2,47.7484,-122.111,0,0,9,40.0,565000
4731,840,3522,0,2,1.0,3,47.6575,-122.395,0,0,6,76.0,405100
4732,1300,8800,0,3,1.0,3,47.6199,-122.116,0,0,8,60.0,502000
4733,1260,3000,0,3,2.0,3,47.5454,-121.997,0,0,7,20.0,425000
4734,1650,2958,0,3,2.0,1,47.3916,-122.167,0,0,7,38.0,233500
4735,1710,10341,0,3,2.0,1,47.3494,-122.171,0,2,7,37.0,287000
4736,1180,8775,0,3,1.0,1,47.2848,-122.223,0,0,7,57.0,190000
4737,2780,31510,0,3,2.0,3,47.67,-122.024,0,0,8,44.0,666000
4738,950,3090,0,2,1.0,2,47.551,-122.276,0,0,6,114.0,330000
4739,3620,7821,830,5,2.0,5,47.5738,-122.215,0,2,10,13.0,1490000
4740,2140,10256,0,3,2.0,1,47.3751,-122.044,0,0,8,36.0,393000
4741,1920,4627,910,4,1.0,1,47.5003,-122.23,0,0,8,25.0,353000
4742,750,6720,0,2,1.0,1,47.552,-122.31,0,0,6,107.0,260000
4743,2060,2551,160,3,2.0,4,47.5881,-122.165,0,0,8,22.0,680000
4744,2380,11200,0,3,1.0,5,47.5873,-122.193,0,0,8,60.0,921000
4745,750,6380,0,2,1.0,2,47.7033,-122.308,0,0,7,74.0,319000
4746,1160,10881,240,3,1.0,3,47.6339,-122.033,0,0,7,40.0,280000
4747,1050,6300,0,3,1.0,1,47.5128,-122.374,0,0,6,81.0,220000
4748,1740,5200,680,3,1.0,1,47.3657,-122.094,0,0,7,46.0,219000
4749,2050,7171,510,4,1.0,3,47.6194,-122.042,0,0,8,35.0,528000
4750,1980,8100,670,3,1.0,1,47.7353,-122.331,0,0,7,74.0,405000
4751,1690,1618,540,3,2.0,3,47.5518,-121.998,0,0,8,9.0,372977
4752,2320,5900,0,4,1.5,2,47.597,-122.292,0,2,9,113.0,934550
4753,2480,9900,350,3,2.0,3,47.7018,-122.381,0,3,10,83.0,1470000
4754,2290,5350,170,4,2.0,3,47.6428,-122.411,0,0,9,65.0,975000
4755,3180,13806,0,5,2.0,4,47.652,-122.182,0,0,10,33.0,800866
4756,3470,16264,0,7,2.0,3,47.6203,-122.149,0,0,9,43.0,950000
4757,1540,4140,0,4,1.5,2,47.6728,-122.396,0,0,7,121.0,624000
4758,2800,8442,0,5,2.0,3,47.5784,-122.076,1,4,9,22.0,1850000
4759,1050,9876,0,3,1.0,2,47.7635,-122.262,0,0,7,70.0,310000
4760,1480,6800,0,3,1.0,1,47.4633,-122.188,0,0,7,55.0,315000
4761,1010,5973,0,3,1.0,4,47.6652,-122.202,0,0,6,81.0,675000
4762,1660,8208,0,3,1.0,4,47.5919,-122.154,0,0,8,58.0,490000
4763,2760,6350,1380,5,1.0,2,47.5561,-122.379,0,0,7,65.0,600000
4764,1040,20524,0,2,1.0,2,47.6981,-121.875,0,3,6,34.0,154000
4765,2220,6500,0,4,2.0,2,47.4519,-122.375,0,3,8,59.0,480000
4766,1270,7500,0,3,1.0,1,47.4214,-122.316,0,0,6,69.0,196900
4767,2960,39370,0,3,2.0,2,47.7452,-122.202,0,0,10,34.0,735000
4768,1330,8748,0,3,1.0,1,47.2619,-122.298,0,0,7,37.0,205500
4769,1210,1040,0,2,2.0,3,47.5519,-121.999,0,0,8,9.0,357186
4770,2120,6754,0,4,2.0,1,47.3629,-122.184,0,0,7,25.0,275000
4771,2090,12026,0,3,1.0,1,47.3095,-122.217,0,0,7,75.0,248500
4772,2680,7836,0,3,2.0,1,47.3203,-122.185,0,0,8,14.0,350000
4773,1790,47250,570,4,1.0,2,47.5302,-121.746,0,0,7,36.0,390000
4774,1950,12240,700,3,1.0,2,47.7401,-122.258,0,0,7,67.0,390000
4775,3740,14913,0,5,1.5,3,47.6234,-122.059,0,0,9,44.0,660000
4776,1140,8263,0,3,1.0,2,47.7407,-122.327,0,0,7,73.0,310000
4777,2480,5137,0,3,2.0,3,47.684,-122.164,0,0,9,23.0,717000
4778,2580,11250,1170,5,1.0,1,47.397,-122.313,0,0,7,59.0,260000
4779,2290,5001,800,3,1.0,2,47.6909,-122.339,0,0,7,63.0,745000
4780,2320,12042,1000,4,1.0,2,47.763,-122.16,0,0,7,48.0,470000
4781,2530,8820,0,3,2.0,1,47.42,-122.205,0,0,8,26.0,429000
4782,1400,7140,0,4,1.0,2,47.7719,-122.309,0,0,7,54.0,220000
4783,2060,1850,660,3,2.0,4,47.6543,-122.373,0,0,8,16.0,497000
4784,1640,4000,0,3,1.5,2,47.6563,-122.351,0,0,7,114.0,716100
4785,1960,94525,0,4,1.5,3,47.5418,-121.962,0,0,6,44.0,371000
4786,3000,25175,1500,5,1.0,3,47.497,-122.088,0,0,7,62.0,379000
4787,1320,8500,0,3,1.0,6,47.6187,-122.226,0,0,7,69.0,937500
4788,1760,4500,0,4,1.5,2,47.6711,-122.331,0,0,7,117.0,720000
4789,2130,2306,710,3,2.0,2,47.5424,-122.391,0,1,7,99.0,616000
4790,1390,7120,0,3,1.0,1,47.3786,-122.179,0,0,7,35.0,259000
4791,1400,3825,300,3,1.5,2,47.6793,-122.393,0,0,6,119.0,538000
4792,3230,9576,0,3,1.5,2,47.7307,-122.183,0,0,8,57.0,605000
4793,1110,7603,0,3,1.0,2,47.7262,-122.224,0,0,7,56.0,369950
4794,1670,4220,0,3,2.0,1,47.3834,-122.028,0,0,7,21.0,310000
4795,1540,9450,0,3,1.0,1,47.3612,-122.315,0,0,7,63.0,227500
4796,2090,7400,420,4,1.0,1,47.3178,-122.38,0,0,9,50.0,274000
4797,1410,8088,0,3,1.0,2,47.7303,-122.227,0,0,7,36.0,410000
4798,1370,78408,0,3,1.0,1,47.3867,-122.081,0,0,7,59.0,354800
4799,1910,5120,610,4,1.0,3,47.6534,-122.409,0,0,8,69.0,650000
4800,1678,13862,0,3,1.0,1,47.3744,-122.19,0,0,7,29.0,353000
4801,960,12745,0,3,1.0,1,47.3617,-122.03,0,0,6,46.0,224975
4802,2080,13054,0,2,1.0,2,47.7435,-122.292,0,1,7,72.0,600000
4803,1790,7700,450,3,1.0,2,47.7205,-122.168,0,0,7,47.0,437500
4804,2540,6093,0,3,2.0,2,47.7042,-122.236,0,0,9,24.0,567000
4805,1790,11656,0,5,2.0,1,47.3961,-122.308,0,0,7,60.0,225000
4806,940,9330,0,2,1.0,2,47.5445,-122.273,0,0,6,82.0,255000
4808,900,4600,0,2,1.0,2,47.6918,-122.361,0,0,6,72.0,370000
4809,1900,8800,760,4,1.0,4,47.6579,-122.197,0,0,8,48.0,675000
4810,1440,4268,400,3,1.0,1,47.5468,-122.293,0,0,7,70.0,285000
4811,2070,37904,650,3,1.0,1,47.425,-122.186,0,0,7,50.0,310000
4812,2240,7245,1100,4,1.0,2,47.7161,-122.17,0,0,7,51.0,475000
4813,3320,5034,0,4,2.0,1,47.4011,-122.164,0,0,7,17.0,410000
4814,1950,5950,620,4,1.0,4,47.639,-122.347,0,0,8,76.0,895000
4815,1240,7733,450,3,1.0,2,47.714,-122.283,0,0,6,82.0,375000
4816,1830,4694,0,4,2.0,1,47.3573,-122.016,0,0,7,20.0,349000
4817,1740,4400,0,3,1.5,3,47.6115,-122.292,0,0,8,120.0,650500
4818,1410,15120,0,3,1.0,5,47.5974,-122.195,0,0,7,73.0,760000
4819,2050,3960,870,4,1.0,3,47.5808,-122.394,0,0,7,37.0,480000
4820,3220,16145,0,4,2.0,3,47.5786,-121.995,0,0,10,30.0,689000
4821,1960,5000,980,3,1.0,1,47.5576,-122.317,0,0,6,112.0,415000
4822,1070,6110,0,3,1.0,1,47.3249,-122.207,0,0,7,55.0,195000
4823,2820,9956,1410,5,1.0,1,47.4715,-122.33,0,0,7,56.0,318000
4824,4060,35621,2030,4,1.0,1,47.3059,-122.108,0,0,9,34.0,404000
4825,800,3090,0,2,1.0,2,47.5518,-122.277,0,0,6,98.0,339950
4826,1260,7897,0,3,1.0,1,47.1946,-122.003,0,0,7,44.0,215000
4827,2420,7423,0,3,2.0,1,47.3199,-122.186,0,0,8,33.0,339900
4828,810,3211,0,1,2.0,4,47.6939,-122.184,0,0,7,41.0,285000
4829,1600,5000,490,3,1.5,2,47.655,-122.358,0,0,7,76.0,550000
4830,1350,9000,0,4,1.5,2,47.6953,-122.332,0,0,7,59.0,430000
4831,970,7790,0,3,1.0,1,47.3165,-122.325,0,0,6,56.0,219000
4832,1780,4750,700,2,1.0,2,47.6859,-122.395,0,0,7,76.0,555000
4833,1350,7686,0,3,1.0,1,47.3609,-122.053,0,0,7,34.0,233000
4834,1840,19501,570,3,1.0,1,47.3364,-122.318,0,0,8,51.0,248000
4835,2550,9200,970,5,1.0,2,47.4673,-122.363,0,0,8,48.0,454000
4836,1700,4418,0,4,2.0,5,47.6434,-122.3,0,0,8,23.0,950000
4837,2430,7857,700,3,2.0,1,47.4546,-122.211,0,0,8,43.0,359000
4838,2740,8230,530,5,1.5,2,47.7352,-122.297,0,0,7,61.0,407500
4839,1560,7300,520,3,1.0,1,47.3427,-122.281,0,0,7,59.0,224000
4840,1040,4590,0,2,1.0,1,47.5078,-122.337,0,0,7,69.0,210000
4841,1820,9824,0,4,1.0,1,47.3833,-122.093,0,0,7,55.0,261000
4842,1833,1706,0,3,3.0,3,47.6827,-122.325,0,0,9,25.0,719000
4843,2160,3738,0,3,2.0,2,47.5661,-122.375,0,0,8,29.0,440000
